House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_LR_kW,AC_DR_kW,AC_BR_kW,Kitchen_kW,UPS_kW
House2,2018-06-03 00:00:00,0.73817,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 01:00:00,0.5556916666666666,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 02:00:00,0.30185166666666674,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 03:00:00,0.6744850000000001,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 04:00:00,0.8070049999999998,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 05:00:00,0.7379183333333331,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 06:00:00,0.7662716666666666,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 07:00:00,1.5957400000000004,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 08:00:00,1.9567583333333336,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
House2,2018-06-03 09:00:00,1.839411666666667,2722.51,2,2008,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,6,6,0,0,6,0,4,1,1,8,12,1,0,1,30,2,0.0,0.0,0.0,0.0,0.0
